City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
168,Isangel,-19.55,169.2667,86.0,74,75,7.56,VU,broken clouds
169,Kushiro,42.975,144.3747,50.0,53,20,11.5,JP,few clouds
170,Barentu,15.1139,37.5928,81.25,32,76,2.39,ER,broken clouds
171,Alice Springs,-23.7,133.8833,73.99,33,0,16.11,AU,clear sky
172,Yellowknife,62.456,-114.3525,14.0,57,90,12.66,CA,light snow
173,Maniitsoq,65.4167,-52.9,27.7,63,5,7.76,GL,clear sky
174,Puerto Del Rosario,28.5004,-13.8627,64.4,68,0,5.75,ES,clear sky
175,Bilma,18.6853,12.9164,83.53,13,15,8.34,NE,few clouds
176,Mount Isa,-20.7333,139.5,84.2,17,9,13.8,AU,clear sky
177,Constitucion,-35.3333,-72.4167,53.46,83,22,8.37,CL,few clouds
178,Oranjemund,-28.55,16.4333,59.49,84,0,5.21,NA,clear sky
179,Oktyabrskiy,54.4815,53.471,39.81,97,100,3.31,RU,overcast clouds
180,Haines Junction,60.7522,-137.5108,50.0,27,0,5.75,CA,clear sky
181,Lufilufi,-13.8745,-171.5986,86.0,79,90,4.61,WS,overcast clouds
182,Kilgore,32.3863,-94.8758,62.6,48,90,5.75,US,overcast clouds
183,Hasaki,35.7333,140.8333,66.0,39,20,14.97,JP,few clouds
184,Ust-Ordynskiy,52.805,104.7508,35.6,64,0,2.24,RU,clear sky
185,Biak,-0.9131,122.8766,83.98,67,79,3.65,ID,broken clouds
186,Salinopolis,-0.6136,-47.3561,77.41,86,100,5.93,BR,overcast clouds
187,Polson,47.6936,-114.1632,37.99,62,100,7.0,US,overcast clouds
188,Seoul,37.5683,126.9778,71.6,30,0,12.66,KR,light rain
189,Misasi,-3.0,33.0833,68.0,94,75,3.06,TZ,broken clouds
190,Valparaiso,-33.0393,-71.6273,57.0,79,96,6.26,CL,overcast clouds
191,Pemangkat,1.1667,108.9667,86.11,64,67,8.39,ID,broken clouds
192,Rio Grande,-32.035,-52.0986,66.0,91,10,15.88,BR,clear sky
193,Price,39.5994,-110.8107,51.8,20,1,9.22,US,clear sky
194,Ulaangom,49.9811,92.0667,38.17,40,100,7.99,MN,overcast clouds
195,Lugovskoy,56.9585,64.529,51.8,40,0,11.18,RU,clear sky
196,Honningsvag,70.9821,25.9704,33.8,75,40,9.22,NO,scattered clouds
197,Policoro,40.2115,16.6726,55.0,97,100,3.18,IT,light rain
198,Sibolga,1.7427,98.7792,84.83,65,100,3.94,ID,overcast clouds
199,Adiake,5.2863,-3.304,75.2,100,20,4.61,CI,few clouds
200,Alofi,-19.0595,-169.9187,84.2,74,40,11.5,NU,light rain
201,Ginda,30.6945,78.4932,58.06,53,94,6.31,IN,overcast clouds
202,Sinnamary,5.3833,-52.95,77.72,87,92,12.55,GF,light rain
203,Kodiak,57.79,-152.4072,42.8,87,90,8.05,US,light rain
204,Williams Lake,52.1415,-122.1445,39.2,33,1,8.05,CA,clear sky
205,Zyryanka,65.75,150.85,23.63,75,100,12.84,RU,overcast clouds
206,Guerrero Negro,27.9769,-114.0611,59.34,74,0,17.45,MX,clear sky
207,Khuzhir,53.1939,107.3397,30.25,61,100,7.54,RU,overcast clouds
208,Klaksvik,62.2266,-6.589,41.0,93,75,5.75,FO,broken clouds
209,Walvis Bay,-22.9575,14.5053,63.0,77,67,3.44,NA,broken clouds
210,Hutchinson,38.0608,-97.9298,48.2,61,90,12.66,US,overcast clouds
211,Zhanakorgan,43.9098,67.2495,56.82,25,86,6.91,KZ,overcast clouds
212,Turayf,31.6725,38.6637,64.4,25,75,9.22,SA,broken clouds
213,Novyy Rogachik,48.6768,44.0608,50.0,87,0,8.95,RU,light rain
214,Leningradskiy,69.3833,178.4167,33.46,84,100,5.14,RU,overcast clouds
215,Bharatpur,27.2167,77.4833,91.31,18,51,9.28,IN,broken clouds
216,Coahuayana,18.7333,-103.6833,71.13,68,99,3.65,MX,overcast clouds
217,Husavik,66.0449,-17.3389,35.6,93,0,5.14,IS,clear sky
218,Dickinson,29.4608,-95.0513,68.0,88,90,5.75,US,overcast clouds
219,Palasa,18.7667,84.4167,91.08,55,75,9.33,IN,broken clouds
220,Verkhoyansk,67.5447,133.385,18.09,66,90,3.2,RU,overcast clouds
221,Trairi,-3.2778,-39.2689,74.25,93,13,3.47,BR,few clouds
222,Carnarvon,-24.8667,113.6333,84.2,26,99,3.44,AU,overcast clouds
223,Asau,46.4333,26.4,41.0,65,68,0.49,RO,broken clouds
224,Hay River,60.8156,-115.7999,19.4,53,100,8.05,CA,overcast clouds
225,Kataysk,56.289,62.5841,49.6,56,100,12.06,RU,overcast clouds
226,Kudahuvadhoo,2.6708,72.8944,83.08,67,71,8.84,MV,broken clouds
227,Malanje,-9.5402,16.341,61.34,93,100,3.11,AO,overcast clouds
228,Teya,60.3778,92.6267,36.09,73,34,2.98,RU,scattered clouds
229,Srednekolymsk,67.45,153.6833,20.05,77,88,8.52,RU,overcast clouds
230,Kamennomostskiy,44.2983,40.1856,46.42,84,3,3.04,RU,clear sky
231,Namibe,-15.1961,12.1522,79.54,78,39,1.03,AO,scattered clouds
232,Yerbogachen,61.2767,108.0108,32.32,75,100,12.46,RU,overcast clouds
233,West Bay,19.3667,-81.4167,80.6,78,0,5.75,KY,clear sky
234,Bud,39.447,-86.1758,39.99,66,11,6.89,US,few clouds
235,Babayurt,43.6002,46.7789,51.71,91,100,10.89,RU,overcast clouds
236,Tasiilaq,65.6145,-37.6368,28.4,59,90,3.44,GL,light snow
237,Krasnyy Chikoy,50.3643,108.7512,39.54,67,100,5.08,RU,overcast clouds
238,Ransang,8.9603,117.5828,85.08,69,65,10.36,PH,broken clouds
239,Champasak,14.75,106.0,89.6,62,40,6.91,LA,scattered clouds
240,Pitimbu,-7.4706,-34.8086,75.2,94,0,2.3,BR,clear sky
241,Baykit,61.67,96.37,35.44,77,97,7.92,RU,overcast clouds
242,Inongo,-1.95,18.2667,71.83,94,64,4.07,CD,light rain
243,Sergeyevka,53.88,67.4158,43.83,42,93,12.91,KZ,overcast clouds
244,Ketchikan,55.3422,-131.6461,51.8,43,1,5.75,US,clear sky
245,Mareeba,-17.0,145.4333,82.99,83,90,12.66,AU,overcast clouds
246,Stoke-On-Trent,53.0042,-2.1854,37.99,68,7,1.99,GB,clear sky
247,Vestmanna,62.1564,-7.1664,41.0,93,75,5.75,FO,broken clouds
248,Belyy Yar,53.6039,91.3903,41.0,30,0,15.66,RU,clear sky
249,Havre-Saint-Pierre,50.2334,-63.5986,35.6,93,90,13.8,CA,overcast clouds
250,Broken Hill,-31.95,141.4333,64.4,45,40,6.91,AU,scattered clouds
251,Sola,-13.8833,167.55,87.8,74,75,13.8,VU,broken clouds
252,Bambanglipuro,-7.95,110.2833,85.06,61,19,9.15,ID,few clouds
253,Orel,52.9658,36.0803,47.82,79,64,13.58,RU,broken clouds
254,Lishu,43.3047,124.3278,52.97,75,100,5.44,CN,light rain
255,Mahebourg,-20.4081,57.7,73.4,94,75,3.44,MU,broken clouds
256,Wana,32.2989,69.5725,61.16,56,0,4.18,PK,clear sky
257,Umm Lajj,25.0213,37.2685,80.8,60,35,8.48,SA,scattered clouds
258,Horconcitos,8.4682,-81.8007,66.76,89,38,6.98,PA,scattered clouds
259,Lompoc,34.6391,-120.4579,51.8,82,19,6.91,US,few clouds
260,Xining,36.6167,101.7667,61.59,49,97,6.06,CN,light rain
261,Yulara,-25.2406,130.9889,73.4,31,0,10.36,AU,clear sky
262,Abu Dhabi,24.4667,54.3667,77.0,69,0,5.75,AE,clear sky
263,Saskylakh,71.9167,114.0833,11.52,90,94,6.69,RU,overcast clouds
264,Bandarbeyla,9.4942,50.8122,82.72,74,91,6.22,SO,overcast clouds
265,Bone,51.9669,12.1396,39.0,80,26,3.0,DE,scattered clouds
266,San Isidro,-12.1167,-77.05,66.0,88,20,8.05,PE,few clouds
267,Campoverde,-8.4753,-74.8058,74.95,92,91,1.86,PE,overcast clouds
268,Narsaq,60.9167,-46.05,39.2,52,40,3.44,GL,scattered clouds
269,Correntina,-13.3433,-44.6367,68.36,92,69,1.92,BR,broken clouds
270,Souillac,-20.5167,57.5167,73.4,94,75,3.44,MU,broken clouds
271,Riwaka,-41.0833,173.0,63.0,86,100,4.0,NZ,light rain
272,Bakel,14.905,-12.4568,87.55,12,74,9.53,SN,broken clouds
273,Peleduy,59.6289,112.7406,33.62,94,100,13.18,RU,light snow
274,Demirci,39.0461,28.6589,47.93,57,38,2.93,TR,scattered clouds
275,Beringovskiy,63.05,179.3167,28.92,74,83,9.17,RU,broken clouds
276,Rongcheng,30.634,117.8517,70.43,73,96,4.07,CN,overcast clouds
277,Kastamonu,41.5,33.6667,41.67,82,81,2.21,TR,broken clouds
278,Sterling,39.0062,-77.4286,43.0,56,90,8.05,US,overcast clouds
279,Chute-Aux-Outardes,49.1168,-68.399,33.8,93,90,16.11,CA,light snow
280,Henties Bay,-22.116,14.2845,63.0,88,19,1.99,NA,few clouds
281,Kabarnet,0.4919,35.743,59.0,82,75,6.91,KE,broken clouds
282,Challapata,-18.9,-66.7667,43.66,60,21,1.77,BO,few clouds
283,Grand Gaube,-20.0064,57.6608,75.0,82,100,7.0,MU,overcast clouds
284,Troyes,48.3333,4.0833,41.0,65,0,7.23,FR,clear sky
285,Mitu,1.1983,-70.1733,72.91,97,81,1.39,CO,moderate rain
286,Poum,-20.2333,164.0167,79.18,77,100,7.74,NC,overcast clouds
287,Ak-Dovurak,51.1833,90.6,34.27,50,100,3.96,RU,overcast clouds
288,Ancud,-41.8697,-73.8203,51.01,100,90,6.91,CL,light rain
289,Mujiayingzi,42.1167,118.7833,59.79,52,100,8.48,CN,overcast clouds
290,Airai,-8.9266,125.4092,76.82,46,32,2.55,TL,scattered clouds
291,Sitka,57.0531,-135.33,48.2,57,75,0.78,US,broken clouds
292,Kurumkan,54.3,110.3,38.95,26,8,2.91,RU,clear sky
293,Waipawa,-41.4122,175.5153,64.4,68,75,17.27,NZ,broken clouds
294,Lagoa,39.05,-27.9833,56.77,78,7,38.7,PT,clear sky
295,Yaring,6.8662,101.3689,89.6,58,20,8.05,TH,few clouds
296,Tura,25.5198,90.2201,88.77,26,0,6.26,IN,clear sky
297,Dubai,25.2582,55.3047,78.8,50,0,2.3,AE,clear sky
298,Fortuna,40.5982,-124.1573,51.01,93,20,11.5,US,few clouds
299,San Policarpo,12.1791,125.5072,83.25,75,65,9.13,PH,broken clouds
300,Shimoda,34.6667,138.95,60.8,48,75,12.66,JP,broken clouds
301,Padang,-0.9492,100.3543,86.0,70,40,4.61,ID,scattered clouds
302,Port Blair,11.6667,92.75,85.71,59,97,6.02,IN,overcast clouds
303,Arsk,56.0915,49.8778,41.0,87,0,11.18,RU,clear sky
304,Clyde River,70.4692,-68.5914,14.0,79,75,8.05,CA,broken clouds
305,Lewistown,40.5992,-77.5714,37.0,57,46,5.01,US,scattered clouds
306,Westport,41.1415,-73.3579,39.99,57,65,15.17,US,broken clouds
307,Berdigestyakh,62.0989,126.6992,29.41,88,100,11.18,RU,light snow
308,Waingapu,-9.6567,120.2641,83.97,64,9,5.66,ID,clear sky
309,Cape Canaveral,28.4058,-80.6048,66.99,88,1,8.05,US,clear sky
310,Kihei,20.785,-156.4656,80.6,57,20,24.16,US,few clouds
311,Bayji,34.9311,43.487,73.13,17,4,11.12,IQ,clear sky
312,Nanortalik,60.1432,-45.2371,34.83,85,42,5.19,GL,scattered clouds
313,Pisco,-13.7,-76.2167,66.2,82,0,5.75,PE,clear sky
314,Qaqortoq,60.7167,-46.0333,39.2,52,42,3.44,GL,scattered clouds
