City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
527,Malbug,PH,82.4,overcast clouds,9.7327,123.3402,D Alegre Traveller's Inn
528,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
529,Soyo,AO,77.72,moderate rain,-6.1349,12.3689,Hotel Mpampa
530,Acarau,BR,76.51,few clouds,-2.8856,-40.12,castelo pizzaria
532,Buraydah,SA,75.2,few clouds,26.326,43.975,فندق راحة السلام
534,Ambunti,PG,82.0,overcast clouds,-4.2365,142.8448,Ambunti Lodge
538,Nabire,ID,86.76,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
541,Davila,PH,82.4,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
542,Akyab,MM,86.76,scattered clouds,20.15,92.9,Hotel Memory
543,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
554,Vung Tau,VN,79.72,overcast clouds,10.345999999999998,107.0843,Green hotel
561,Acajutla,SV,75.99,broken clouds,13.5928,-89.8275,asi es
563,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
571,Nieuw Nickerie,SR,77.34,few clouds,5.95,-56.9833,Ishwardat Inn
573,Saint-Louis,SN,75.2,clear sky,16.3333,-15.0,
578,Labuhan,ID,85.23,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
585,Filingue,NE,84.43,scattered clouds,14.3521,3.3168,
589,Chamrajnagar,IN,77.0,few clouds,11.9167,76.95,Nijaguna Resort - Near BR Hills & K gudi Wildlife
597,Perth,AU,78.01,clear sky,-31.9333,115.8333,Beatty Lodge
599,Betong,TH,83.8,overcast clouds,5.7743,101.0723,New Cathay Hotel
602,Boa Vista,BR,78.8,light rain,2.8197,-60.6733,Aipana Plaza Hotel
603,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
607,Anloga,GH,82.4,few clouds,5.7947,0.8973,Pin Drop Hotel
614,Tevaitoa,PF,80.58,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
626,Benguela,AO,79.39,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
629,Samarai,PG,83.73,broken clouds,-10.6167,150.6667,Nuli Sapi
634,Riyadh,SA,77.0,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
635,Mana,GF,77.02,overcast clouds,5.6592,-53.7767,LE SAMANA
638,Kupang,ID,84.29,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
640,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
643,Puerto Baquerizo Moreno,EC,75.38,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
644,Cartagena,CO,80.6,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
653,Gouyave,GD,80.6,few clouds,12.1646,-61.7296,Rumboat Retreat
654,Zhaotong,CN,76.77,clear sky,27.3167,103.7167,Jingguan Home
657,Hervey Bay,AU,75.99,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
659,Gorom-Gorom,BF,85.32,scattered clouds,14.4439,-0.2361,
662,Bintulu,MY,89.6,scattered clouds,3.1667,113.0333,900 Boutique INN
663,Muisne,EC,77.47,broken clouds,0.6,-80.0333,Quinta Samay
664,Bosaso,SO,85.39,clear sky,11.2842,49.1816,Red Sea Hotel
665,Tabas,IR,81.9,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
667,Kudat,MY,87.8,few clouds,6.8837,116.8477,Dream Garden Hotel
669,Aden,YE,81.05,clear sky,12.7794,45.0367,Sama Emirate Hotel
670,Frontera,MX,75.99,broken clouds,26.9333,-101.45,Casagrande Hotel
677,Manadhoo,MV,83.68,scattered clouds,5.7667,73.3833,Vevu Guesthouse
